date,close,high,low,open
2016.09.13 시작09:30,107.95,108.79,107.24,107.51
2016.09.14 시작09:30,111.77,113.03,108.6,108.73
2016.09.15 시작09:30,115.57,115.73,113.49,113.86
2016.09.16 시작09:30,114.92,116.13,114.04,115.12
2016.09.19 시작09:30,113.58,116.18,113.25,115.19
2016.09.20 시작09:30,113.57,114.12,112.51,113.05
2016.09.21 시작09:30,113.55,113.989,112.441,113.85
2016.09.22 시작09:30,114.62,114.94,114.0,114.35
2016.09.23 시작09:30,112.71,114.79,111.55,114.42
2016.09.26 시작09:30,112.88,113.39,111.55,111.64
2016.09.27 시작09:30,113.09,113.18,112.34,113.0
2016.09.28 시작09:30,113.95,114.64,113.43,113.69
2016.09.29 시작09:30,112.18,113.8,111.8,113.16
2016.09.30 시작09:30,113.05,113.37,111.8,112.46
2016.10.03 시작09:30,112.52,113.05,112.28,112.71
2016.10.04 시작09:30,113.0,114.31,112.63,113.06
2016.10.05 시작09:30,113.05,113.66,112.69,113.4
2016.10.06 시작09:30,113.89,114.34,113.13,113.7
2016.10.07 시작09:30,114.06,114.56,113.51,114.31
2016.10.10 시작09:30,116.05,116.75,114.72,115.02
2016.10.11 시작09:30,116.3,118.69,116.2,117.7
2016.10.12 시작09:30,117.34,117.98,116.75,117.35
2016.10.13 시작09:30,116.98,117.44,115.72,116.79
2016.10.14 시작09:30,117.63,118.17,117.13,117.88
2016.10.17 시작09:30,117.55,117.84,116.78,117.33
2016.10.18 시작09:30,117.47,118.21,117.45,118.18
2016.10.19 시작09:30,117.12,117.76,113.8,117.25
2016.10.20 시작09:30,117.06,117.38,116.33,116.86
2016.10.21 시작09:30,116.6,116.91,116.28,116.81
2016.10.24 시작09:30,117.65,117.74,117.0,117.1
2016.10.25 시작09:30,118.25,118.36,117.31,117.95
2016.10.26 시작09:30,115.59,115.7,113.31,114.31
2016.10.27 시작09:30,114.48,115.86,114.1,115.39
2016.10.28 시작09:30,113.72,115.21,113.45,113.87
2016.10.31 시작09:30,113.54,114.23,113.2,113.65
2016.11.01 시작09:30,111.49,113.77,110.53,113.46
2016.11.02 시작09:30,111.59,112.35,111.23,111.4
2016.11.03 시작09:30,109.83,111.46,109.55,110.98
2016.11.04 시작09:30,108.84,110.25,108.11,108.53
2016.11.07 시작09:30,110.41,110.51,109.46,110.08
2016.11.08 시작09:30,111.06,111.72,109.7,110.31
2016.11.09 시작09:30,110.88,111.32,108.05,109.88
2016.11.10 시작09:30,107.79,111.09,105.83,111.09
2016.11.11 시작09:30,108.43,108.87,106.55,107.12
2016.11.14 시작09:30,105.71,107.809,104.08,107.71
2016.11.15 시작09:30,107.11,107.68,106.1593,106.57
2016.11.16 시작09:30,109.99,110.23,106.6,106.7
2016.11.17 시작09:30,109.95,110.35,108.83,109.81
2016.11.18 시작09:30,110.06,110.54,109.66,109.72
2016.11.21 시작09:30,111.73,111.99,110.01,110.12
2016.11.22 시작09:30,111.8,112.42,111.4,111.95
2016.11.23 시작09:30,111.23,111.51,110.33,111.36
2016.11.25 시작09:30,111.79,111.87,110.95,111.13
2016.11.28 시작09:30,111.57,112.465,111.39,111.43
2016.11.29 시작09:30,111.46,112.03,110.07,110.78
2016.11.30 시작09:30,110.52,112.2,110.27,111.6
2016.12.01 시작09:30,109.49,110.94,109.03,110.365
2016.12.02 시작09:30,109.9,110.09,108.85,109.17
2016.12.05 시작09:30,109.11,110.03,108.25,110.0
2016.12.06 시작09:30,109.95,110.36,109.19,109.5
2016.12.07 시작09:30,111.03,111.19,109.16,109.26
2016.12.08 시작09:30,112.12,112.43,110.6,110.86
2016.12.09 시작09:30,113.95,114.7,112.31,112.31
2016.12.12 시작09:30,113.3,115.0,112.49,113.29
2016.12.13 시작09:30,115.19,115.92,113.75,113.84
2016.12.14 시작09:30,115.19,116.2,114.98,115.04
2016.12.15 시작09:30,115.82,116.73,115.23,115.38
2016.12.16 시작09:30,115.97,116.5,115.645,116.47
2016.12.19 시작09:30,116.64,117.38,115.75,115.8
2016.12.20 시작09:30,116.95,117.5,116.68,116.74
2016.12.21 시작09:30,117.06,117.4,116.78,116.8
2016.12.22 시작09:30,116.29,116.51,115.64,116.35
2016.12.23 시작09:30,116.52,116.52,115.59,115.59
2016.12.27 시작09:30,117.26,117.8,116.49,116.52
2016.12.28 시작09:30,116.76,118.0166,116.2,117.52
2016.12.29 시작09:30,116.73,117.1095,116.4,116.45
2016.12.30 시작09:30,115.82,117.2,115.43,116.65
2017.01.03 시작09:30,116.15,116.33,114.76,115.8
2017.01.04 시작09:30,116.02,116.51,115.75,115.85
2017.01.05 시작09:30,116.61,116.8642,115.81,115.92
2017.01.06 시작09:30,117.91,118.16,116.47,116.78
2017.01.09 시작09:30,118.99,119.43,117.94,117.95
2017.01.10 시작09:30,119.11,119.38,118.3,118.77
2017.01.11 시작09:30,119.75,119.93,118.6,118.74
2017.01.12 시작09:30,119.25,119.3,118.21,118.895
2017.01.13 시작09:30,119.04,119.62,118.81,119.11
2017.01.17 시작09:30,120.0,120.24,118.22,118.34
2017.01.18 시작09:30,119.99,120.5,119.71,120.0
2017.01.19 시작09:30,119.78,120.09,119.37,119.4
2017.01.20 시작09:30,120.0,120.45,119.7346,120.45
2017.01.23 시작09:30,120.08,120.81,119.77,120.0
2017.01.24 시작09:30,119.97,120.1,119.5,119.55
2017.01.25 시작09:30,121.88,122.1,120.28,120.42
2017.01.26 시작09:30,121.94,122.44,121.6,121.67
2017.01.27 시작09:30,121.95,122.35,121.6,122.14
2017.01.30 시작09:30,121.63,121.63,120.66,120.93
2017.01.31 시작09:30,121.35,121.39,120.62,121.15
2017.02.01 시작09:30,128.75,130.49,127.01,127.03
2017.02.02 시작09:30,128.53,129.39,127.78,127.975
2017.02.03 시작09:30,129.08,129.19,128.16,128.31
2017.02.06 시작09:30,130.29,130.5,128.9,129.13
2017.02.07 시작09:30,131.53,132.09,130.45,130.54
2017.02.08 시작09:30,132.04,132.22,131.22,131.35
2017.02.09 시작09:30,132.42,132.445,131.12,131.65
2017.02.10 시작09:30,132.12,132.94,132.05,132.46
2017.02.13 시작09:30,133.29,133.82,132.75,133.08
2017.02.14 시작09:30,135.02,135.09,133.25,133.47
2017.02.15 시작09:30,135.51,136.27,134.62,135.52
2017.02.16 시작09:30,135.345,135.9,134.8398,135.67
2017.02.17 시작09:30,135.72,135.83,135.1,135.1
2017.02.21 시작09:30,136.7,136.75,135.98,136.23
2017.02.22 시작09:30,137.11,137.12,136.11,136.43
2017.02.23 시작09:30,136.53,137.48,136.3,137.38
2017.02.24 시작09:30,136.66,136.66,135.28,135.91
2017.02.27 시작09:30,136.93,137.435,136.28,137.14
2017.02.28 시작09:30,136.99,137.435,136.7,137.08
2017.03.01 시작09:30,139.79,140.15,137.595,137.89
2017.03.02 시작09:30,138.96,140.2786,138.76,140.0
2017.03.03 시작09:30,139.78,139.83,138.59,138.78
